"","individual","environment","y"
"288",91,-1.11407836761322,2.64575131106459
"720",91,0.897259803315826,1.73205080756888
"991",91,0.897259803315826,2.23606797749979
"992",91,-1.11407836761322,2
"993",91,-1.11407836761322,2.23606797749979
"994",91,0.897259803315826,3.16227766016838
"1526",91,0.897259803315826,4.47213595499958
"1527",91,0.897259803315826,3.16227766016838
"1528",91,-1.11407836761322,3.60555127546399
"2053",91,0.897259803315826,2.82842712474619
"2054",91,0.897259803315826,4.24264068711928
"2055",91,-1.11407836761322,3.16227766016838
"2056",91,-1.11407836761322,2.44948974278318
"2176",91,0.897259803315826,3.46410161513775
"2177",91,0.897259803315826,2.64575131106459
"2178",91,-1.11407836761322,3.87298334620742
"678",92,0.897259803315826,2.23606797749979
"679",92,-1.11407836761322,2.44948974278318
"680",92,0.897259803315826,2.23606797749979
"636",93,-1.11407836761322,3.87298334620742
"637",93,0.897259803315826,2.82842712474619
"638",93,0.897259803315826,3.16227766016838
"1255",94,-1.11407836761322,2
"1256",94,0.897259803315826,2.44948974278318
"224",95,0.897259803315826,3.16227766016838
"225",95,0.897259803315826,1
"226",95,-1.11407836761322,3.16227766016838
"227",95,-1.11407836761322,2.82842712474619
"139",96,-1.11407836761322,3.87298334620742
"140",96,0.897259803315826,3.46410161513775
"105",97,-1.11407836761322,3.16227766016838
"106",97,0.897259803315826,0
"107",97,0.897259803315826,3.16227766016838
"364",98,0.897259803315826,3.16227766016838
"365",98,-1.11407836761322,2.82842712474619
"366",98,-1.11407836761322,3.16227766016838
"2555",99,0.897259803315826,2.23606797749979
"2556",99,-1.11407836761322,2.44948974278318
"2557",99,0.897259803315826,1.73205080756888
"512",100,-1.11407836761322,0
"513",100,-1.11407836761322,1
"514",100,0.897259803315826,0
"1189",100,0.897259803315826,2
"1190",100,0.897259803315826,2.23606797749979
"1191",100,-1.11407836761322,1.4142135623731
"1192",100,-1.11407836761322,0
"1697",100,0.897259803315826,3.16227766016838
"1698",100,0.897259803315826,2.82842712474619
"1699",100,-1.11407836761322,1
"1700",100,-1.11407836761322,1
"1485",101,0.897259803315826,2.64575131106459
"1486",101,0.897259803315826,3.16227766016838
"1487",101,-1.11407836761322,4.24264068711928
"1488",101,-1.11407836761322,2.64575131106459
"761",102,0.897259803315826,2.82842712474619
"762",102,0.897259803315826,2.23606797749979
"763",102,-1.11407836761322,1.73205080756888
"697",103,0.897259803315826,3.16227766016838
"698",103,-1.11407836761322,0
"699",103,0.897259803315826,2
"1114",104,0.897259803315826,4.47213595499958
"1115",104,-1.11407836761322,3.87298334620742
"1116",104,0.897259803315826,5.47722557505166
"1068",105,0.897259803315826,1.4142135623731
"1069",105,-1.11407836761322,2.23606797749979
"2301",105,0.897259803315826,3.46410161513775
"2302",105,0.897259803315826,4.47213595499958
"1212",106,0.897259803315826,1.73205080756888
"1213",106,0.897259803315826,2.23606797749979
"1214",106,-1.11407836761322,0
"1347",107,-1.11407836761322,1.4142135623731
"1348",107,-1.11407836761322,1
